hour_of_day,day_of_week,month,is_weekend,is_vacation,is_exam_period,outside_temperature,humidity,occupancy_count,energy_consumption_kwh,timestamp,hour,day,weekday,month_dt,lag_1,lag_2,lag_3,lag_4,lag_8,roll_mean_3,roll_mean_8
0,0,1970-01-01 00:00:00.000000001,False,0,0,1.5438407369351492,84.13693597405702,128,101.83163159279118,2020-01-02 00:00:00,0,2,3,1,147.88614692416067,116.0006596432738,87.79805480840629,89.19658445513441,115.79977434344003,117.22828712528025,105.1558373812916
3,0,1970-01-01 00:00:00.000000001,False,0,0,-0.4373723614757807,88.11577493410113,137,100.96958295509448,2020-01-02 03:00:00,3,2,3,1,101.83163159279118,147.88614692416067,116.0006596432738,87.79805480840629,94.13031656240769,121.90614605340856,103.40981953746049
6,0,1970-01-01 00:00:00.000000001,False,0,0,5.322157134118721,76.1695150658929,145,98.44168284692518,2020-01-02 06:00:00,6,2,3,1,100.96958295509448,101.83163159279118,147.88614692416067,116.0006596432738,100.09787355427471,116.89578715734876,104.26472783654634
9,0,1970-01-01 00:00:00.000000001,False,0,0,7.843296005251316,64.01846139025194,52,72.75650366001112,2020-01-02 09:00:00,9,2,3,1,98.44168284692518,100.96958295509448,101.83163159279118,147.88614692416067,90.33728875923518,100.41429913160361,104.05770399812765
12,0,1970-01-01 00:00:00.000000001,False,0,0,6.177632241156344,73.42134666352456,54,88.08353532600263,2020-01-02 12:00:00,12,2,3,1,72.75650366001112,98.44168284692518,100.96958295509448,101.83163159279118,89.19658445513441,90.72258982067693,101.86010586072464
15,0,1970-01-01 00:00:00.000000001,False,0,0,7.177739320002581,72.63927247067664,63,93.80463620951208,2020-01-02 15:00:00,15,2,3,1,88.08353532600263,72.75650366001112,98.44168284692518,100.96958295509448,87.79805480840629,86.42724061097964,101.72097471958317
18,0,1970-01-01 00:00:00.000000001,False,0,0,6.077661523164911,76.44959286902652,126,114.92027017031808,2020-01-02 18:00:00,18,2,3,1,93.80463620951208,88.08353532600263,72.75650366001112,98.44168284692518,116.0006596432738,84.8815583985086,102.47179739472139
21,0,1970-01-01 00:00:00.000000001,False,0,0,-1.528663825561308,87.21837814283778,126,145.62082085775333,2020-01-02 21:00:00,21,2,3,1,114.92027017031808,93.80463620951208,88.08353532600263,72.75650366001112,147.88614692416067,98.9361472352776,102.33674871060192
0,1,1970-01-01 00:00:00.000000001,False,0,0,0.0566091775400039,76.16229053875276,119,106.29902462856884,2020-01-03 00:00:00,0,3,4,1,145.62082085775333,114.92027017031808,93.80463620951208,88.08353532600263,101.83163159279118,118.11524241252783,102.053582952301
3,1,1970-01-01 00:00:00.000000001,False,0,0,2.119714244806268,83.75096559930859,143,100.76647222117369,2020-01-03 03:00:00,3,3,4,1,106.29902462856884,145.62082085775333,114.92027017031808,93.80463620951208,100.96958295509448,122.28003855221341,102.61200708177321
6,1,1970-01-01 00:00:00.000000001,False,0,0,0.6688891866856173,84.72957132338135,137,118.01796993595792,2020-01-03 06:00:00,6,3,4,1,100.76647222117369,106.29902462856884,145.62082085775333,114.92027017031808,98.44168284692518,117.56210590249862,102.58661824003312
9,1,1970-01-01 00:00:00.000000001,False,0,0,5.910051330341057,63.82243727022054,58,94.33919765790172,2020-01-03 09:00:00,9,3,4,1,118.01796993595792,100.76647222117369,106.29902462856884,145.62082085775333,72.75650366001112,108.36115559523348,105.0336541261622
12,1,1970-01-01 00:00:00.000000001,False,0,0,8.527135404681271,63.637356420870134,54,85.67856067107935,2020-01-03 12:00:00,12,3,4,1,94.33919765790172,118.01796993595792,100.76647222117369,106.29902462856884,88.08353532600263,104.37454660501112,107.73149087589854
15,1,1970-01-01 00:00:00.000000001,False,0,0,5.287790683828325,70.09687215933648,64,94.07412828742524,2020-01-03 15:00:00,15,3,4,1,85.67856067107935,94.33919765790172,118.01796993595792,100.76647222117369,93.80463620951208,99.34524275497967,107.43086904403313
18,1,1970-01-01 00:00:00.000000001,False,0,0,3.013414786418623,81.02527918594028,126,135.39045981439057,2020-01-03 18:00:00,18,3,4,1,94.07412828742524,85.67856067107935,94.33919765790172,118.01796993595792,114.92027017031808,91.36396220546878,107.46455555377227
21,1,1970-01-01 00:00:00.000000001,False,0,0,0.5865869923738646,78.78981060279759,127,137.38373234857607,2020-01-03 21:00:00,21,3,4,1,135.39045981439057,94.07412828742524,85.67856067107935,94.33919765790172,145.62082085775333,105.04771625763173,110.02332925928133
0,2,1970-01-01 00:00:00.000000001,True,0,0,0.0253817016643858,82.18829950250283,112,112.34512213709712,2020-01-04 00:00:00,0,4,5,1,137.38373234857607,135.39045981439057,94.07412828742524,85.67856067107935,106.29902462856884,122.28277348346394,108.99369319563418
3,2,1970-01-01 00:00:00.000000001,True,0,0,0.0241939670095419,76.61343243646314,142,111.47036515031748,2020-01-04 03:00:00,3,4,5,1,112.34512213709712,137.38373234857607,135.39045981439057,94.07412828742524,100.76647222117369,128.37310476668793,109.74945538420022
6,2,1970-01-01 00:00:00.000000001,True,0,0,3.5411005916824627,79.15407336901994,143,112.77447905274954,2020-01-04 06:00:00,6,4,5,1,111.47036515031748,112.34512213709712,137.38373234857607,135.39045981439057,118.01796993595792,120.39973987866357,111.08744200034319
9,2,1970-01-01 00:00:00.000000001,True,0,0,6.1170018281019445,70.69240228565712,56,86.68743020222249,2020-01-04 09:00:00,9,4,5,1,112.77447905274954,111.47036515031748,112.34512213709712,137.38373234857607,94.33919765790172,112.19665544672138,110.43200563994213
12,2,1970-01-01 00:00:00.000000001,True,0,0,5.66824211775116,77.46735773764567,50,87.31364532161349,2020-01-04 12:00:00,12,4,5,1,86.68743020222249,112.77447905274954,111.47036515031748,112.34512213709712,85.67856067107935,103.64409146842983,109.47553470798223
15,2,1970-01-01 00:00:00.000000001,True,0,0,4.5963636889761785,77.35510926120116,58,85.14507697721133,2020-01-04 15:00:00,15,4,5,1,87.31364532161349,86.68743020222249,112.77447905274954,111.47036515031748,94.07412828742524,95.5918515255285,109.67992028929899
18,2,1970-01-01 00:00:00.000000001,True,0,0,2.844496208615896,84.45974798887961,127,125.72694467844546,2020-01-04 18:00:00,18,4,5,1,85.14507697721133,87.31364532161349,86.68743020222249,112.77447905274954,135.39045981439057,86.38205083368244,108.56378887552226
21,2,1970-01-01 00:00:00.000000001,True,0,0,-1.9119510744920731,87.39788843855311,121,132.94483062540175,2020-01-04 21:00:00,21,4,5,1,125.72694467844546,85.14507697721133,87.31364532161349,86.68743020222249,137.38373234857607,99.39522232575678,107.35584948352913
0,3,1970-01-01 00:00:00.000000001,True,0,0,-2.158908264613878,87.29943583804334,126,117.24804419398964,2020-01-05 00:00:00,0,5,6,1,132.94483062540175,125.72694467844546,85.14507697721133,87.31364532161349,112.34512213709712,114.60561742701952,106.80098676813233
3,3,1970-01-01 00:00:00.000000001,True,0,0,0.4930064214610763,69.3959331634857,142,106.26245962184392,2020-01-05 03:00:00,3,5,6,1,117.24804419398964,132.94483062540175,125.72694467844546,85.14507697721133,111.47036515031748,125.30660649927897,107.4138520252439
6,3,1970-01-01 00:00:00.000000001,True,0,0,2.17418618987406,73.71960469450292,146,122.7528467503454,2020-01-05 06:00:00,6,5,6,1,106.26245962184392,117.24804419398964,132.94483062540175,125.72694467844546,112.77447905274954,118.8184448137451,106.7628638341847
9,3,1970-01-01 00:00:00.000000001,True,0,0,5.925546292409835,75.81943252486157,56,79.12138451761307,2020-01-05 09:00:00,9,5,6,1,122.7528467503454,106.26245962184392,117.24804419398964,132.94483062540175,86.68743020222249,115.42111685539298,108.01015979638419
12,3,1970-01-01 00:00:00.000000001,True,0,0,9.031755618953737,71.43080509999155,60,85.02393416731616,2020-01-05 12:00:00,12,5,6,1,79.12138451761307,122.7528467503454,106.26245962184392,117.24804419398964,87.31364532161349,102.7122302966008,107.06440408580801
15,3,1970-01-01 00:00:00.000000001,True,0,0,4.57392347386765,72.30661952893801,52,94.87584896700426,2020-01-05 15:00:00,15,5,6,1,85.02393416731616,79.12138451761307,122.7528467503454,106.26245962184392,85.14507697721133,95.6327218117582,106.77819019152085
18,3,1970-01-01 00:00:00.000000001,True,0,0,1.7355323274843393,79.6138528009925,128,147.7946490299123,2020-01-05 18:00:00,18,5,6,1,94.87584896700426,85.02393416731616,79.12138451761307,122.7528467503454,125.72694467844546,86.34038921731116,107.99453669024496
21,3,1970-01-01 00:00:00.000000001,True,0,0,1.5760230442690497,77.09792627642416,117,118.09541796442416,2020-01-05 21:00:00,21,5,6,1,147.7946490299123,94.87584896700426,85.02393416731616,79.12138451761307,132.94483062540175,109.23147738807756,110.75299973417832
0,4,1970-01-01 00:00:00.000000001,False,0,0,-2.0411046705095988,87.19283185408658,120,132.39695553777656,2020-01-06 00:00:00,0,6,0,1,118.09541796442416,147.7946490299123,94.87584896700426,85.02393416731616,117.24804419398964,120.2553053204469,108.89682315155612
